x,Ch1_1,is_cusum_turning,is_steep_endpoint
23643.0,12197.0,0,1
23644.0,10442.0,1,0
23646.0,7386.0,1,0
23649.0,5412.0,1,0
23652.0,4874.0,1,0
23655.0,4977.0,0,1
23656.0,5001.0,0,1
23668.0,5804.0,0,1
23675.0,5814.0,1,1
23681.0,9113.0,0,1
23685.0,7089.0,1,1
23690.0,3783.0,1,0
23692.0,4482.0,0,1
23693.0,4284.0,1,1
23708.0,1434.0,1,1
23746.0,1465.0,0,1
23750.0,5391.0,0,1
23751.0,4945.0,1,0
23753.0,4838.0,1,0
23763.0,5209.0,1,1
23772.0,5734.0,0,1
23781.0,5958.0,1,0
23787.0,6066.0,1,0
23802.0,6273.0,0,1
23813.0,9835.0,1,0
23816.0,12798.0,0,1
23817.0,12294.0,0,1
23818.0,10521.0,1,0
23822.0,5885.0,1,0
23825.0,5081.0,1,0
23829.0,4982.0,1,1
23830.0,4985.0,0,1
23850.0,5948.0,1,0
23855.0,9202.0,0,1
23856.0,8333.0,0,1
23858.0,7447.0,1,0
23863.0,4460.0,1,0
23866.0,4575.0,0,1
23867.0,4203.0,1,1
23882.0,1460.0,1,1
23920.0,1430.0,1,1
23924.0,5588.0,0,1
23925.0,5029.0,1,0
23930.0,4888.0,0,1
23945.0,5753.0,1,0
23947.0,5837.0,0,1
23957.0,6054.0,1,0
23976.0,6421.0,0,1
23980.0,6856.0,1,0
23987.0,9812.0,1,0
23990.0,12805.0,0,1
23991.0,12237.0,0,1
23992.0,10484.0,1,0
23994.0,7505.0,1,0
23996.0,5825.0,1,0
24000.0,4860.0,1,0
24004.0,5023.0,0,1
24008.0,5349.0,0,1
24021.0,6049.0,0,1
24022.0,5963.0,1,0
24024.0,6003.0,1,1
24029.0,9292.0,0,1
24030.0,8396.0,0,1
24032.0,7560.0,1,0
24037.0,4427.0,1,0
24040.0,4724.0,0,1
24041.0,4335.0,1,1
24055.0,1474.0,1,1
24092.0,1479.0,0,1
24097.0,5517.0,1,1
24101.0,5135.0,1,0
24104.0,5215.0,0,1
24123.0,6050.0,1,0
24136.0,6437.0,0,1
24150.0,6407.0,0,1
24154.0,6999.0,1,0
24161.0,10012.0,1,0
24164.0,13303.0,0,1
24165.0,12581.0,0,1
24166.0,10713.0,1,0
24169.0,6573.0,1,0
24171.0,5456.0,1,0
24177.0,5016.0,1,1
24178.0,5063.0,0,1
24194.0,6123.0,0,1
24197.0,5980.0,1,1
24203.0,9373.0,0,1
24204.0,8476.0,0,1
24206.0,7616.0,1,0
24211.0,4515.0,1,0
24214.0,4652.0,0,1
24215.0,4417.0,1,1
24229.0,1457.0,1,1
24266.0,1467.0,1,1
24271.0,5785.0,1,1
24273.0,5193.0,1,0
24278.0,5159.0,0,1
24284.0,5494.0,1,0
24295.0,6138.0,0,1
24298.0,6103.0,1,0
24324.0,6563.0,0,1
24334.0,9791.0,1,0
24338.0,13236.0,0,1
24339.0,12690.0,0,1
24340.0,10780.0,1,0
24342.0,7699.0,1,0
24344.0,5961.0,1,0
24346.0,5249.0,1,0
24348.0,4924.0,1,0
24351.0,5076.0,0,1
24352.0,5004.0,0,1
24371.0,6082.0,1,0
24377.0,9722.0,1,1
24378.0,8687.0,0,1
24386.0,4000.0,1,0
24388.0,4863.0,0,1
24389.0,4504.0,1,1
24403.0,1466.0,1,1
24441.0,1455.0,0,1
24446.0,5688.0,1,1
24448.0,5244.0,1,0
24454.0,5550.0,1,0
24457.0,5527.0,0,1
24474.0,6337.0,0,1
24475.0,6251.0,1,0
24498.0,6657.0,0,1
24509.0,10251.0,1,0
24512.0,13218.0,0,1
24513.0,12717.0,0,1
24514.0,10900.0,1,0
24517.0,6790.0,1,0
24521.0,5147.0,1,0
24523.0,4988.0,1,1
24526.0,5213.0,0,1
24528.0,5187.0,1,0
24546.0,6218.0,1,0
24551.0,9604.0,1,1
24552.0,8804.0,0,1
24554.0,7673.0,1,0
24559.0,4655.0,1,0
24562.0,4900.0,0,1
24563.0,4595.0,1,1
24577.0,1461.0,1,1
24615.0,1428.0,1,1
24620.0,5813.0,1,1
24622.0,5280.0,1,0
24629.0,5403.0,0,1
24631.0,5595.0,1,0
24636.0,5878.0,1,0
24664.0,6638.0,0,1
24672.0,6617.0,0,1
24676.0,7045.0,1,0
24683.0,10273.0,1,0
24686.0,13354.0,0,1
24687.0,12894.0,0,1
24688.0,10897.0,1,0
24691.0,6910.0,1,0
24694.0,5477.0,1,0
24697.0,5125.0,1,0
24698.0,5175.0,0,1
24701.0,5162.0,0,1
24716.0,6176.0,1,0
24718.0,6192.0,0,1
24720.0,6152.0,1,0
24721.0,6188.0,0,1
24726.0,8805.0,0,1
24727.0,8108.0,0,1
24728.0,7843.0,1,0
24733.0,4609.0,1,0
24736.0,4934.0,0,1
24737.0,4575.0,1,1
24750.0,1477.0,1,1
24789.0,1429.0,0,1
24794.0,6244.0,1,1
24795.0,5850.0,0,1
24797.0,5441.0,1,0
24802.0,5468.0,0,1
24803.0,5632.0,0,1
24818.0,6404.0,0,1
24820.0,6380.0,1,0
24836.0,6577.0,1,0
24846.0,6709.0,0,1
24857.0,10315.0,1,0
24860.0,13596.0,0,1
24861.0,12721.0,0,1
24862.0,11041.0,1,0
24865.0,6870.0,1,0
24869.0,5263.0,1,0
24872.0,5106.0,1,1
24873.0,5144.0,0,1
24889.0,6288.0,0,1
24893.0,6279.0,0,1
24894.0,6310.0,1,0
24900.0,8931.0,0,1
24901.0,8198.0,0,1
24902.0,7994.0,1,0
24907.0,4692.0,1,0
24910.0,5133.0,0,1
24911.0,4643.0,1,1
24924.0,1482.0,1,1
24962.0,1467.0,0,1
24967.0,6306.0,1,1
24968.0,6000.0,0,1
24969.0,5682.0,1,0
24975.0,5541.0,0,1
24976.0,5654.0,0,1
24979.0,5924.0,1,0
24993.0,6432.0,0,1
25004.0,6625.0,1,0
25020.0,6868.0,0,1
